StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
48,Texas,48027021100,"Bell County, TX - 48027021100",2015,71%,
48,Texas,48027021201,"Bell County, TX - 48027021201",2015,0%,
48,Texas,48027021202,"Bell County, TX - 48027021202",2015,9%,
48,Texas,48027021203,"Bell County, TX - 48027021203",2015,28%,
48,Texas,48027021301,"Bell County, TX - 48027021301",2015,51%,
48,Texas,48027021302,"Bell County, TX - 48027021302",2015,67%,
48,Texas,48027021303,"Bell County, TX - 48027021303",2015,12%,
48,Texas,48027021400,"Bell County, TX - 48027021400",2015,0%,
48,Texas,48027021500,"Bell County, TX - 48027021500",2015,7%,
48,Texas,48027021601,"Bell County, TX - 48027021601",2015,17%,
48,Texas,48027021602,"Bell County, TX - 48027021602",2015,7%,
48,Texas,48027021700,"Bell County, TX - 48027021700",2015,57%,
48,Texas,48027021800,"Bell County, TX - 48027021800",2015,40%,
48,Texas,48027021901,"Bell County, TX - 48027021901",2015,0%,
48,Texas,48027021903,"Bell County, TX - 48027021903",2015,0%,
48,Texas,48027021904,"Bell County, TX - 48027021904",2015,59%,
48,Texas,48027022000,"Bell County, TX - 48027022000",2015,33%,
48,Texas,48027022101,"Bell County, TX - 48027022101",2015,40%,
48,Texas,48027022103,"Bell County, TX - 48027022103",2015,23%,
48,Texas,48027022104,"Bell County, TX - 48027022104",2015,57%,
48,Texas,48027022105,"Bell County, TX - 48027022105",2015,6%,
48,Texas,48027022200,"Bell County, TX - 48027022200",2015,55%,
48,Texas,48027022300,"Bell County, TX - 48027022300",2015,24%,
48,Texas,48027022401,"Bell County, TX - 48027022401",2015,17%,
48,Texas,48027022402,"Bell County, TX - 48027022402",2015,0%,
48,Texas,48027022403,"Bell County, TX - 48027022403",2015,0%,
48,Texas,48027022404,"Bell County, TX - 48027022404",2015,0%,
48,Texas,48027022405,"Bell County, TX - 48027022405",2015,0%,
48,Texas,48027022501,"Bell County, TX - 48027022501",2015,32%,
48,Texas,48027022502,"Bell County, TX - 48027022502",2015,14%,
